newTime,origin_stop,month,time,quantity,timeOfDay
2019-02-02,600014,2019-02,Weekday (8:30am-2:59:59pm),44344,02
2019-02-03,600014,2019-02,Weekday (3:00pm-6:59:59pm),133832,03
2019-02-04,600014,2019-02,Weekday (7:00pm-11:59:59pm),18611,04
2019-02-05,600014,2019-02,Weekend,18674,05
2019-03-01,600014,2019-03,Weekday (12:00am-8:29:59am),18581,01
2019-03-02,600014,2019-03,Weekday (8:30am-2:59:59pm),49098,02
2019-03-03,600014,2019-03,Weekday (3:00pm-6:59:59pm),142716,03
2019-03-04,600014,2019-03,Weekday (7:00pm-11:59:59pm),19933,04
2019-03-05,600014,2019-03,Weekend,32266,05
2019-04-01,600014,2019-04,Weekday (12:00am-8:29:59am),16260,01
2019-04-02,600014,2019-04,Weekday (8:30am-2:59:59pm),46354,02
2019-04-03,600014,2019-04,Weekday (3:00pm-6:59:59pm),121500,03
2019-04-04,600014,2019-04,Weekday (7:00pm-11:59:59pm),17500,04
2019-04-05,600014,2019-04,Weekend,22977,05
2019-05-01,600014,2019-05,Weekday (12:00am-8:29:59am),18738,01
2019-05-02,600014,2019-05,Weekday (8:30am-2:59:59pm),53129,02
2019-05-03,600014,2019-05,Weekday (3:00pm-6:59:59pm),150342,03
2019-05-04,600014,2019-05,Weekday (7:00pm-11:59:59pm),20143,04
2019-05-05,600014,2019-05,Weekend,24359,05
2019-06-01,600014,2019-06,Weekday (12:00am-8:29:59am),16188,01
2019-06-02,600014,2019-06,Weekday (8:30am-2:59:59pm),46215,02
2019-06-03,600014,2019-06,Weekday (3:00pm-6:59:59pm),133483,03
2019-06-04,600014,2019-06,Weekday (7:00pm-11:59:59pm),17652,04
2019-06-05,600014,2019-06,Weekend,29994,05
2019-07-01,600014,2019-07,Weekday (12:00am-8:29:59am),18203,01
2019-07-02,600014,2019-07,Weekday (8:30am-2:59:59pm),53292,02
2019-07-03,600014,2019-07,Weekday (3:00pm-6:59:59pm),148564,03
2019-07-04,600014,2019-07,Weekday (7:00pm-11:59:59pm),19682,04
2019-07-05,600014,2019-07,Weekend,25972,05
2019-08-01,600014,2019-08,Weekday (12:00am-8:29:59am),17700,01
2019-08-02,600014,2019-08,Weekday (8:30am-2:59:59pm),53237,02
2019-08-03,600014,2019-08,Weekday (3:00pm-6:59:59pm),143813,03
2019-08-04,600014,2019-08,Weekday (7:00pm-11:59:59pm),22962,04
2019-08-05,600014,2019-08,Weekend,31824,05
2019-09-01,600014,2019-09,Weekday (12:00am-8:29:59am),17187,01
2019-09-02,600014,2019-09,Weekday (8:30am-2:59:59pm),48437,02
2019-09-03,600014,2019-09,Weekday (3:00pm-6:59:59pm),133736,03
2019-09-04,600014,2019-09,Weekday (7:00pm-11:59:59pm),19579,04
2019-09-05,600014,2019-09,Weekend,30977,05
2019-10-01,600014,2019-10,Weekday (12:00am-8:29:59am),18827,01
2019-10-02,600014,2019-10,Weekday (8:30am-2:59:59pm),51821,02
2019-10-03,600014,2019-10,Weekday (3:00pm-6:59:59pm),144298,03
2019-10-04,600014,2019-10,Weekday (7:00pm-11:59:59pm),20000,04
2019-10-05,600014,2019-10,Weekend,27255,05
2019-11-01,600014,2019-11,Weekday (12:00am-8:29:59am),16000,01
2019-11-02,600014,2019-11,Weekday (8:30am-2:59:59pm),44033,02
2019-11-03,600014,2019-11,Weekday (3:00pm-6:59:59pm),122729,03
2019-11-04,600014,2019-11,Weekday (7:00pm-11:59:59pm),22613,04
2019-11-05,600014,2019-11,Weekend,23998,05
2019-12-01,600014,2019-12,Weekday (12:00am-8:29:59am),13317,01
2019-12-02,600014,2019-12,Weekday (8:30am-2:59:59pm),37816,02
2019-12-03,600014,2019-12,Weekday (3:00pm-6:59:59pm),82144,03
2019-12-04,600014,2019-12,Weekday (7:00pm-11:59:59pm),17822,04
2019-12-05,600014,2019-12,Weekend,22279,05
2017-01-01,600018,2017-01,Weekday (12:00am-8:29:59am),15058,01
2017-01-02,600018,2017-01,Weekday (8:30am-2:59:59pm),108262,02
2017-01-03,600018,2017-01,Weekday (3:00pm-6:59:59pm),428603,03
2017-01-04,600018,2017-01,Weekday (7:00pm-11:59:59pm),45667,04
2017-01-05,600018,2017-01,Weekend,45027,05
2017-02-01,600018,2017-02,Weekday (12:00am-8:29:59am),16304,01
2017-02-02,600018,2017-02,Weekday (8:30am-2:59:59pm),121391,02
2017-02-03,600018,2017-02,Weekday (3:00pm-6:59:59pm),499775,03
2017-02-04,600018,2017-02,Weekday (7:00pm-11:59:59pm),53655,04
2017-02-05,600018,2017-02,Weekend,45673,05
2017-03-01,600018,2017-03,Weekday (12:00am-8:29:59am),19371,01
2017-03-02,600018,2017-03,Weekday (8:30am-2:59:59pm),144336,02
2017-03-03,600018,2017-03,Weekday (3:00pm-6:59:59pm),561605,03
2017-03-04,600018,2017-03,Weekday (7:00pm-11:59:59pm),66939,04
2017-03-05,600018,2017-03,Weekend,46208,05
2017-04-01,600018,2017-04,Weekday (12:00am-8:29:59am),14923,01
2017-04-02,600018,2017-04,Weekday (8:30am-2:59:59pm),118754,02
2017-04-03,600018,2017-04,Weekday (3:00pm-6:59:59pm),419087,03
2017-04-04,600018,2017-04,Weekday (7:00pm-11:59:59pm),51768,04
2017-04-05,600018,2017-04,Weekend,58856,05
2017-05-01,600018,2017-05,Weekday (12:00am-8:29:59am),17491,01
2017-05-02,600018,2017-05,Weekday (8:30am-2:59:59pm),141776,02
2017-05-03,600018,2017-05,Weekday (3:00pm-6:59:59pm),565548,03
2017-05-04,600018,2017-05,Weekday (7:00pm-11:59:59pm),62763,04
2017-05-05,600018,2017-05,Weekend,46141,05
2017-06-01,600018,2017-06,Weekday (12:00am-8:29:59am),16874,01
2017-06-02,600018,2017-06,Weekday (8:30am-2:59:59pm),134672,02
